forum_uid,Opinion(1/0),Question(1/0),Answer(1/0),Sentiment(1-7),Urgency(1-7),CourseType,course_display_name,post_type,up_count,reads,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,confusion
0,0,0,1,4.5,1.5,Medicine,MedStats,Comment,1,172,44,57.84,91.35,2.4,94.75,14.67,9.09,75,56.82,13.64,9.09,0,6.82,0,0,2.27,4.55,6.82,15.91,13.64,9.09,4.55,0,15.91,2.27,0,0,0,4.55,4.55,4.55,0,0,0,0,9.09,0,0,0,0,6.82,2.27,0,0,0,2.27,2.27,0,0,0,0,0,0,0,0,0,6.82,6.82,0,0,0,0,0,15.91,2.27,4.55,0,2.27,2.27,2.27,0,0,0,0,0,0,0,0,0,0,0,18.18,6.82,2.27,0,0,0,2.27,6.82,0,0,0,0,1
0,0,0,1,4,1.5,Medicine,MedStats,Comment,0,159,60,84.62,97.69,23.51,25.77,30,11.67,95,61.67,13.33,13.33,0,1.67,8.33,0,3.33,0,10,20,10,3.33,8.33,1.67,18.33,0,0,0,1.67,0,0,0,0,0,0,0,15,0,0,0,0,8.33,0,0,1.67,1.67,1.67,3.33,0,0,0,0,0,0,0,0,0,11.67,3.33,1.67,6.67,1.67,0,3.33,11.67,0,15,1.67,5,8.33,11.67,0,1.67,1.67,0,0,0,0,0,0,0,0,13.33,3.33,3.33,0,0,0,0,0,0,1.67,3.33,1.67,1
0,0,0,1,4,1.5,Medicine,MedStats,Comment,0,68,31,99,90.14,60.4,25.77,15.5,16.13,83.87,54.84,12.9,6.45,0,6.45,0,0,0,6.45,9.68,25.81,6.45,3.23,0,0,12.9,3.23,3.23,0,0,3.23,0,0,0,0,0,0,6.45,0,0,0,0,12.9,6.45,0,0,6.45,0,0,0,0,0,0,0,0,0,0,0,16.13,6.45,6.45,3.23,0,0,3.23,9.68,6.45,16.13,0,9.68,6.45,6.45,0,0,0,0,0,3.23,0,3.23,0,0,0,12.9,3.23,3.23,0,0,0,3.23,0,0,3.23,0,0,1
0,0,0,1,4,1.5,Medicine,MedStats,Comment,0,75,35,52.71,61.26,13.15,98.56,17.5,22.86,91.43,60,11.43,2.86,0,2.86,0,0,0,8.57,8.57,17.14,14.29,11.43,8.57,0,17.14,8.57,5.71,0,0,8.57,5.71,5.71,0,0,0,0,2.86,0,0,0,0,22.86,8.57,2.86,2.86,8.57,0,2.86,0,0,0,0,0,0,0,0,0,5.71,2.86,2.86,0,0,0,0,8.57,2.86,5.71,0,5.71,0,2.86,0,2.86,2.86,0,0,0,0,0,0,0,0,11.43,2.86,2.86,0,0,0,2.86,0,0,2.86,0,0,1
0,0,0,1,4.5,1.5,Medicine,MedStats,Comment,0,78,23,71.39,98.44,2.02,99,7.67,8.7,86.96,47.83,17.39,13.04,0,8.7,4.35,0,0,4.35,4.35,13.04,8.7,0,4.35,0,21.74,0,0,0,0,4.35,13.04,13.04,0,0,0,0,13.04,0,0,0,0,21.74,4.35,0,8.7,8.7,8.7,4.35,0,0,0,0,0,0,0,0,0,8.7,8.7,0,0,0,0,0,17.39,8.7,8.7,4.35,0,4.35,4.35,0,0,0,0,0,0,0,0,0,0,0,17.39,8.7,4.35,0,0,0,4.35,0,0,0,0,0,1
0,0,0,1,4.5,1.5,Medicine,MedStats,Comment,0,87,27,36.1,64.46,4.97,1,13.5,25.93,85.19,59.26,7.41,0,0,0,0,0,0,7.41,11.11,7.41,18.52,3.7,14.81,0,18.52,11.11,7.41,0,0,7.41,3.7,0,3.7,0,0,0,11.11,0,0,0,0,18.52,0,0,7.41,3.7,7.41,7.41,3.7,0,0,3.7,3.7,0,3.7,0,0,7.41,3.7,0,3.7,0,0,11.11,3.7,3.7,11.11,0,7.41,3.7,3.7,0,0,0,0,0,3.7,0,0,3.7,0,0,18.52,3.7,3.7,0,0,0,3.7,0,0,0,7.41,0,0
0,0,0,1,4,2,Medicine,MedStats,Comment,3,71,63,25.52,31.71,27.77,55.71,21,15.87,90.48,52.38,11.11,1.59,0,0,1.59,0,0,9.52,7.94,7.94,15.87,4.76,11.11,3.17,19.05,3.17,3.17,3.17,4.76,3.17,4.76,3.17,1.59,0,0,0,6.35,0,0,0,0,20.63,1.59,0,6.35,9.52,1.59,9.52,0,0,0,0,3.17,1.59,1.59,1.59,0,3.17,0,0,1.59,1.59,0,9.52,6.35,0,12.7,0,0,12.7,3.17,0,0,0,0,0,0,0,0,0,0,0,30.16,4.76,6.35,0,0,0,0,3.17,0,6.35,9.52,0,0
0,0,0,1,4,1,Medicine,MedStats,Comment,1,128,19,98.71,70.08,96.09,97.58,19,31.58,84.21,52.63,10.53,5.26,0,5.26,0,0,0,5.26,5.26,26.32,10.53,0,0,0,10.53,10.53,5.26,0,0,0,5.26,5.26,0,0,0,0,5.26,0,0,0,0,26.32,10.53,5.26,5.26,5.26,0,5.26,0,0,0,0,0,0,0,0,0,10.53,5.26,0,5.26,0,0,0,5.26,0,21.05,0,21.05,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,5.26,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,5,1,Medicine,MedStats,Comment,0,131,38,86.88,70.08,33.36,97.58,19,15.79,86.84,50,5.26,0,0,0,0,0,0,5.26,13.16,13.16,7.89,5.26,13.16,0,13.16,7.89,2.63,2.63,7.89,0,5.26,5.26,0,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,5.26,5.26,18.42,5.26,5.26,10.53,13.16,0,2.63,0,0,0,0,0,0,0,0,0,21.05,2.63,5.26,0,0,0,2.63,0,0,0,5.26,5.26,1
0,0,0,1,4,1,Medicine,MedStats,Comment,0,101,13,24.14,22.08,63.54,99,13,23.08,92.31,61.54,23.08,15.38,7.69,0,0,0,7.69,7.69,0,15.38,15.38,0,7.69,0,23.08,0,0,0,0,0,7.69,7.69,0,0,0,0,7.69,0,0,0,0,15.38,7.69,0,7.69,7.69,0,7.69,7.69,7.69,0,0,7.69,0,7.69,0,0,0,0,0,0,0,0,0,23.08,7.69,7.69,7.69,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,4.5,1,Medicine,MedStats,Comment,0,85,33,80.14,96.52,70.57,99,8.25,15.15,78.79,48.48,12.12,9.09,3.03,3.03,3.03,0,0,3.03,6.06,18.18,6.06,9.09,6.06,0,12.12,0,0,3.03,3.03,3.03,6.06,6.06,0,0,0,0,15.15,0,0,0,0,6.06,3.03,0,0,6.06,0,0,0,0,0,0,0,0,0,0,0,9.09,6.06,0,0,3.03,0,0,15.15,3.03,18.18,6.06,9.09,6.06,3.03,0,0,0,0,0,3.03,0,3.03,0,0,0,30.3,6.06,9.09,0,0,0,3.03,0,0,3.03,0,9.09,1
0,0,0,1,4,1,Medicine,MedStats,Comment,0,142,22,21.87,32.48,31.94,1,22,9.09,81.82,63.64,18.18,4.55,0,0,4.55,0,0,13.64,9.09,9.09,22.73,0,4.55,4.55,27.27,13.64,9.09,0,9.09,4.55,4.55,0,4.55,4.55,0,0,4.55,0,0,0,0,27.27,9.09,4.55,4.55,0,0,9.09,0,0,0,0,0,0,0,0,0,9.09,0,0,4.55,0,4.55,4.55,18.18,0,4.55,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,22.73,0,4.55,0,0,0,4.55,0,0,0,0,13.64,0
0,0,0,1,4,1,Medicine,MedStats,Comment,0,101,32,16.88,73.4,1,1.42,16,12.5,90.62,56.25,9.38,6.25,0,3.12,3.12,0,0,3.12,6.25,9.38,15.62,12.5,9.38,3.12,25,6.25,3.12,0,3.12,3.12,15.62,6.25,9.38,3.12,0,3.12,6.25,0,0,0,0,15.62,0,0,9.38,6.25,0,3.12,0,0,0,0,0,0,0,0,0,9.38,3.12,0,3.12,3.12,0,0,15.62,6.25,6.25,3.12,3.12,0,9.38,0,3.12,0,0,0,0,0,0,0,0,0,15.62,6.25,6.25,0,0,0,0,0,0,0,0,3.12,1
0,0,0,1,4.5,1,Medicine,MedStats,Comment,1,220,20,15.77,99,93.3,96.76,10,10,90,70,25,15,0,10,0,0,5,10,10,10,20,5,5,0,20,0,0,5,0,0,5,5,0,0,0,0,15,0,0,0,0,10,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,15,10,0,5,0,0,0,10,15,25,0,10,10,5,0,0,0,0,0,0,0,0,0,0,0,15,10,0,0,0,0,0,5,0,0,0,0,1
0,0,0,1,4,1,Medicine,MedStats,Comment,0,70,41,90.68,59.64,71.4,1,13.67,17.07,85.37,60.98,9.76,4.88,0,0,4.88,0,0,4.88,19.51,12.2,7.32,7.32,9.76,0,14.63,4.88,4.88,0,0,4.88,4.88,0,4.88,0,0,0,4.88,0,0,0,0,14.63,2.44,0,4.88,4.88,2.44,7.32,0,0,0,0,0,0,0,0,0,7.32,0,0,7.32,0,0,0,12.2,0,19.51,0,14.63,0,0,0,0,0,0,0,0,0,0,0,0,0,9.76,4.88,2.44,0,0,0,2.44,0,0,0,0,0,0
0,1,0,0,4,1,Medicine,MedStats,Comment,0,51,23,99,50,80.16,1,11.5,21.74,86.96,34.78,0,0,0,0,0,0,0,0,8.7,17.39,4.35,4.35,4.35,0,4.35,17.39,17.39,0,13.04,13.04,4.35,0,4.35,0,0,0,4.35,0,0,0,0,13.04,4.35,0,4.35,0,0,4.35,0,0,0,0,0,0,0,0,0,4.35,0,0,0,0,4.35,4.35,4.35,0,21.74,0,13.04,8.7,0,0,0,0,0,0,0,0,0,0,0,0,21.74,8.7,4.35,0,0,0,0,0,0,0,8.7,0,0
0,0,0,1,4.5,1,Medicine,MedStats,Comment,1,55,13,65.46,50,99,99,13,15.38,76.92,46.15,23.08,23.08,15.38,0,7.69,0,0,0,0,15.38,7.69,0,0,0,38.46,0,0,0,0,0,15.38,15.38,0,0,0,0,7.69,0,0,0,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.77,7.69,15.38,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,23.08,7.69,0,0,0,0,0,15.38,0,0,0,0,1
0,0,0,1,4.5,1,Medicine,MedStats,Comment,0,60,13,24.14,50,17.46,99,6.5,7.69,84.62,53.85,23.08,15.38,7.69,7.69,0,0,0,7.69,0,15.38,15.38,0,7.69,0,30.77,0,0,0,0,0,15.38,15.38,0,0,0,0,7.69,0,0,0,0,7.69,0,0,7.69,7.69,0,7.69,7.69,7.69,0,0,0,0,0,0,0,15.38,7.69,0,0,7.69,0,0,30.77,7.69,7.69,0,7.69,0,0,0,0,0,0,0,7.69,0,7.69,0,0,0,15.38,0,0,0,0,0,7.69,0,0,7.69,0,0,1
0,1,0,0,4.5,1,Medicine,MedStats,Comment,0,90,42,48.63,76.25,37.24,95.81,10.5,14.29,90.48,57.14,16.67,7.14,2.38,0,4.76,0,0,9.52,4.76,14.29,9.52,9.52,4.76,0,16.67,14.29,11.9,0,4.76,7.14,9.52,7.14,2.38,0,2.38,0,7.14,0,0,0,0,16.67,4.76,0,2.38,7.14,2.38,2.38,2.38,0,0,2.38,0,0,0,0,0,4.76,0,2.38,0,2.38,0,0,14.29,4.76,11.9,0,0,11.9,4.76,0,0,0,0,0,0,0,0,0,0,0,23.81,7.14,0,0,0,0,7.14,0,0,0,9.52,0,1
0,0,0,1,4,1,Medicine,MedStats,Comment,0,38,22,99,67.52,85.21,1,22,18.18,81.82,50,0,0,0,0,0,0,0,0,22.73,22.73,4.55,0,0,0,4.55,0,0,0,0,13.64,4.55,0,4.55,0,4.55,0,4.55,0,0,0,0,4.55,0,0,0,4.55,0,0,4.55,4.55,0,0,0,0,0,0,0,4.55,0,0,4.55,0,0,0,4.55,0,27.27,0,18.18,9.09,0,4.55,0,0,0,0,0,0,0,0,0,0,18.18,4.55,0,0,0,0,0,0,0,0,9.09,4.55,1
0,0,0,1,4,1,Medicine,MedStats,Comment,0,151,28,76.76,98.33,1,87.2,14,17.86,85.71,57.14,10.71,7.14,0,0,7.14,0,0,3.57,14.29,10.71,7.14,10.71,7.14,0,21.43,3.57,0,0,3.57,3.57,3.57,3.57,0,0,0,0,17.86,0,0,0,0,10.71,0,0,3.57,10.71,0,3.57,0,0,0,0,0,0,0,0,0,3.57,0,3.57,0,0,0,0,10.71,3.57,3.57,0,3.57,0,0,3.57,0,0,0,0,0,0,0,0,0,0,35.71,14.29,7.14,0,0,0,0,0,0,0,14.29,0,0
0,0,0,1,4,1,Medicine,MedStats,Comment,0,205,15,34.14,25.24,10.08,99,7.5,20,86.67,46.67,20,6.67,6.67,0,0,0,0,13.33,6.67,6.67,20,0,0,0,20,0,0,0,6.67,13.33,6.67,6.67,0,0,0,0,0,0,0,0,0,26.67,6.67,6.67,6.67,0,6.67,0,0,0,0,0,0,0,0,0,0,6.67,0,0,6.67,0,0,0,6.67,6.67,6.67,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,20,13.33,0,0,0,0,0,0,0,6.67,0,0,1
0,0,0,1,4.5,1,Medicine,MedStats,Comment,0,62,13,97.95,93.79,17.46,99,6.5,7.69,84.62,53.85,15.38,7.69,0,7.69,0,0,0,7.69,15.38,15.38,7.69,0,0,0,23.08,0,0,0,0,0,7.69,7.69,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,7.69,0,0,0,0,0,7.69,15.38,15.38,0,7.69,7.69,0,0,0,0,0,0,7.69,0,0,7.69,0,0,23.08,7.69,7.69,0,0,0,7.69,0,0,0,0,0,1
0,0,0,0,4.5,1,Medicine,MedStats,Comment,0,130,4,93.26,99,1,99,4,0,100,50,25,0,0,0,0,0,0,25,0,25,0,0,0,0,25,25,0,0,0,0,25,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,1
0,0,0,0,5,1,Medicine,MedStats,Comment,0,91,8,99,50,1,99,8,12.5,87.5,50,12.5,0,0,0,0,0,0,12.5,12.5,25,0,0,0,0,25,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,12.5,0,0,0,0,0,1
0,0,0,1,5,1,Medicine,MedStats,Comment,1,174,54,89.09,64.46,4.97,99,18,14.81,83.33,48.15,7.41,1.85,0,0,1.85,0,0,5.56,12.96,11.11,7.41,3.7,9.26,0,12.96,3.7,0,0,0,5.56,9.26,9.26,0,0,0,0,1.85,0,0,0,0,3.7,1.85,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,5.56,0,0,9.26,3.7,11.11,1.85,3.7,7.41,7.41,0,0,0,0,0,1.85,0,1.85,0,0,0,12.96,1.85,0,0,1.85,0,3.7,3.7,0,1.85,0,0,1
0,0,0,1,4,2,Medicine,MedStats,Comment,0,152,45,98.87,32.84,18.21,94.19,22.5,22.22,73.33,51.11,6.67,0,0,0,0,0,0,6.67,17.78,13.33,6.67,0,4.44,2.22,11.11,2.22,0,0,4.44,0,4.44,4.44,0,0,0,0,2.22,0,0,0,0,15.56,4.44,0,0,8.89,4.44,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,6.67,2.22,4.44,0,0,0,0,0,0,0,2.22,0,2.22,0,0,0,26.67,2.22,0,0,0,0,4.44,8.89,0,0,4.44,6.67,0
0,0,0,1,4.5,1,Medicine,MedStats,Comment,0,111,20,66.46,97.69,3.37,25.77,6.67,5,85,55,15,10,0,5,5,0,0,5,10,10,15,5,0,0,35,0,0,0,0,0,10,5,5,0,0,5,10,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,5,0,10,20,5,10,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,15,10,0,0,0,0,5,0,0,0,0,0,1
0,0,0,1,4.5,1,Medicine,MedStats,Comment,2,218,17,27.29,96.11,6.2,99,17,23.53,82.35,47.06,17.65,17.65,5.88,11.76,0,0,0,0,0,11.76,5.88,5.88,11.76,0,23.53,5.88,5.88,0,5.88,5.88,11.76,11.76,0,0,0,0,11.76,0,0,0,0,11.76,5.88,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,11.76,11.76,0,0,0,0,5.88,11.76,5.88,5.88,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.65,5.88,0,0,0,0,0,5.88,0,0,0,5.88,1
0,0,0,1,4,1,Medicine,MedStats,Comment,0,84,46,35.67,33.19,88.68,4.13,15.33,21.74,89.13,50,17.39,6.52,0,4.35,0,0,2.17,10.87,6.52,6.52,10.87,4.35,4.35,2.17,17.39,15.22,10.87,0,2.17,6.52,2.17,0,2.17,0,0,0,6.52,0,0,0,0,26.09,2.17,2.17,2.17,6.52,2.17,13.04,0,0,0,0,0,0,0,0,0,6.52,4.35,0,2.17,0,0,0,15.22,0,15.22,0,4.35,10.87,0,0,0,0,0,0,0,0,0,0,0,0,13.04,6.52,0,0,2.17,0,0,0,0,0,4.35,0,0
0,0,0,1,4.5,1,Medicine,MedStats,Comment,0,67,5,52.71,50,1,99,5,20,80,40,20,0,0,0,0,0,0,20,0,20,20,0,0,0,40,20,0,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,20,40,0,20,0,0,1
0,1,0,0,4,2,Medicine,MedStats,Comment,1,82,57,30.55,19.02,38.82,25.77,19,24.56,91.23,57.89,12.28,3.51,0,0,0,0,3.51,8.77,7.02,8.77,12.28,5.26,8.77,5.26,15.79,1.75,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,26.32,7.02,7.02,5.26,7.02,1.75,8.77,3.51,3.51,0,0,0,0,0,0,0,3.51,0,3.51,0,0,0,1.75,14.04,1.75,8.77,0,0,8.77,8.77,0,0,0,0,0,1.75,0,0,1.75,0,0,26.32,5.26,3.51,0,1.75,0,0,7.02,0,3.51,3.51,1.75,0
0,1,0,0,4,2,Medicine,MedStats,Comment,3,103,42,98.45,68.29,37.24,70.57,21,33.33,69.05,50,9.52,4.76,0,4.76,0,0,0,4.76,16.67,14.29,0,7.14,4.76,0,4.76,11.9,4.76,0,0,4.76,2.38,2.38,0,0,0,0,4.76,0,0,0,0,14.29,2.38,2.38,2.38,2.38,2.38,4.76,0,0,0,0,0,0,0,0,0,7.14,4.76,0,2.38,0,0,0,2.38,0,14.29,2.38,7.14,4.76,0,0,0,0,0,0,0,0,0,0,0,0,14.29,4.76,2.38,0,0,0,0,2.38,0,0,4.76,0,0
